Date,Stock_Rolling_Vol_Pct,Bond_Rolling_Vol_Pct,Strategy_Rolling_Vol_Pct,Stock_Rolling_Return_Pct,Bond_Rolling_Return_Pct,Strategy_Rolling_Return_Pct,Stock_Sharpe_Unadj,Bond_Sharpe_Unadj,Strategy_Sharpe_Unadj,Stock_Sharpe_TreasuryAdj,Bond_Sharpe_TreasuryAdj,Strategy_Sharpe_TreasuryAdj
2015-03-04,11.273240329258135,5.447137871933764,9.304599774160046,13.747432445419939,6.615368526552379,2.865307290997965,1.1991070407809086,1.203266549893718,0.3501100458907701,1.1974610583540235,1.1998600718657586,0.3481158112190608
2015-03-05,11.273316535957782,5.44660462106122,9.305093806415655,13.851424382317635,6.560503139281759,2.9593504031348195,1.2072100804249815,1.1939258878755332,0.35991828071829446,1.20558065331912,1.1905533193094917,0.3579441955646356
2015-03-06,11.365246878760246,5.527968323156247,9.408728446472189,11.883420083619312,5.9271127787877464,1.17962348901115,1.0448658922430425,1.0692912337242142,0.17164602341579097,1.043263611398232,1.0659970185070073,0.1697105528074107
2015-03-09,11.371316903110786,5.526444334788847,9.41800788446089,12.385650677617143,6.881566875005718,1.6338060869992788,1.0837743846727514,1.2319236164388376,0.21912850441445442,1.0821869179476644,1.2286572147326857,0.21721179469987742
2015-03-10,11.496461409173289,5.540147837998661,9.561637270363228,10.519966984161755,7.218940302225074,-0.05338915169039726,0.9275532341768108,1.2859136813637966,0.04218858684543687,0.9259934029427047,1.2826768472373264,0.04031311938304892
2015-03-11,11.484406321742501,5.541741937847117,9.548495970786698,10.872095845347785,7.304489850931994,0.2650518252459877,0.9561169697118754,1.2999559127034022,0.07543049462298838,0.9545665582273046,1.2967429237814343,0.0735657448750509
2015-03-12,11.551871680948404,5.529969522478291,9.634713394730488,12.22427279275513,6.983299681290123,1.4878670942724215,1.0561813865081202,1.2483819547424526,0.2014262149725281,1.0546475871068424,1.2451779128764247,0.19958721331861606
2015-03-13,11.512618124916878,5.503927301798261,9.58973008126351,12.787606468625356,6.19729164826941,1.9973070915539237,1.1029016827208653,1.1200156223000135,0.2541362358000969,1.1013685133442193,1.1168086770432373,0.2522956424356779
2015-03-16,11.582452923688159,5.513361290523288,9.680448792382327,14.659957267728906,6.555705085596819,3.6905315992698196,1.239164184580767,1.1793196113736593,0.4227461890553263,1.2376436853280284,1.1761253510871768,0.4209269437503766
2015-03-17,11.558309341540674,5.499640440641414,9.678024870412994,13.253279006694463,7.203909625054883,3.7535169303670513,1.1346568953578813,1.2924309438877768,0.42910339648102114,1.1331315033857454,1.289225106620533,0.4272816453988401
2015-03-18,11.595741135022278,5.608425736508352,9.724466426948917,13.794768645740007,8.169539722453155,4.249586050175869,1.1725189572741033,1.4283605111501576,0.47656951559595967,1.1710025959634394,1.4252253473712804,0.47476136155915855
2015-03-19,11.591610392332319,5.548068632193499,9.719854456751513,13.892579924735337,8.669538171664048,4.339192852559259,1.180311458541796,1.5264406638902148,0.4855904520058938,1.1788082504047643,1.523300002838918,0.4837977705269084
2015-03-20,11.611576014897338,5.5606602491037505,9.744896730700173,14.275988989594367,9.091297587306846,4.6904413042689,1.2074382333942792,1.5927939603252774,0.5190838774595253,1.205954355702539,1.5896953788902346,0.5173157562479201
2015-03-23,11.60748228324859,5.559366283016504,9.740575792163192,14.450312368793728,9.028003329579871,4.850142319848794,1.2209625512364968,1.58270877821636,0.5349231137078359,1.219492508765235,1.5796394550107777,0.533171318710817
2015-03-24,11.61516787358493,5.565887938418094,9.749149834631575,14.267242486918352,9.316695601124604,4.682428464186228,1.2064415554779815,1.628446264959905,0.5181148338356664,1.2049820517491452,1.6254005010117045,0.5163759764880915
2015-03-25,11.705049865336075,5.5847488980410755,9.849011032361519,12.054255750590158,8.908645246847335,2.6550685605430724,1.0309127774150755,1.5561480469369602,0.3152644876035371,1.0294736346391757,1.5531317541254512,0.31355413943762533
2015-03-26,11.682285990314236,5.602883210992888,9.823723194326558,12.606060140988063,7.8386845591783105,3.1605872233447574,1.074763565795083,1.3750237623285129,0.3658341370741266,1.0733246758650636,1.3720236063305997,0.3641230217120025
2015-03-27,11.680628278763914,5.614006615297657,9.823234297427454,13.066238067578206,8.153187669273109,3.582165112446467,1.1098322045099565,1.4242992966224135,0.40737045066647165,1.108394129561732,1.4213072055797278,0.4056604620416854
2015-03-30,11.735168001910127,5.60088540311703,9.8909237861257,13.970289586745288,8.52597581772121,4.410384175262716,1.1731114239784797,1.4889601761869347,0.4857804689740722,1.1716834140543193,1.4859681606104174,0.4840861948364105
2015-03-31,11.744736321688212,5.605384854113272,9.896021485204695,12.011212105604297,8.796255924477347,2.6156354457762765,1.0245485271878565,1.5321992311985653,0.31034797724020147,1.023122694274636,1.5292117411260022,0.3086557788522335
2015-04-01,11.733809502242698,5.617490155774578,9.879460793409724,10.905723459646621,9.540606600879475,1.6028759393789782,0.9408269110698196,1.6504382434074727,0.21029909856275697,0.9393987358156354,1.6474550719369916,0.20860285858379027
2015-04-02,11.732745273485678,5.606904413316721,9.87803376489961,10.85587276015534,9.704697574323728,1.5572067504687537,0.9370680978267626,1.6801551512145438,0.20576354506875796,0.9356424987918415,1.6771720095188996,0.20407027384323412
2015-04-06,11.749515066627957,5.6075644446278305,9.901045168685831,11.809788166010993,9.770140451863663,2.4311070832417236,1.008853519763915,1.690602845165872,0.29205983118790785,1.0074340083033912,1.687628546527423,0.2903753048567462
2015-04-07,11.686611968692763,5.577815342414844,9.82971600939925,12.868878183740694,9.190591100830536,3.4013599099064873,1.094360298042238,1.604383641189107,0.3893827760197915,1.0929348438500477,1.6013970363984111,0.3876880444520285
2015-04-08,11.635645377153809,5.575616945041027,9.774331189398417,14.512858626067748,8.832964180435642,4.907442154519526,1.2229839608483835,1.5461350271801115,0.5390001134969185,1.2215529449507412,1.5431486682393583,0.5372965909549263
